,Loop_x,Num_Nodes_x,Score_C,LCC_C,GE_C,Loop_y,Num_Nodes_y,Score_B,LCC_B,GE_B,Loop_x,Num_Nodes_x,Score_E,LCC_E,GE_E,Loop_y,Num_Nodes_y,Score_S_C,LCC_S_C,GE_S_C,Loop_x,Num_Nodes_x,Score_S_B,LCC_S_B,GE_S_B,Loop_y,Num_Nodes_y,Score_S_E,LCC_S_E,GE_S_E
0,1,400,0.11477761836441894,400,0.09918991960789768,1,400,0.297845782385256,379,0.08891736066512458,1,400,0.38372525872349345,400,0.09673475608482121,1,400,0.11477761836441894,400,0.09918991960789768,1,400,0.297845782385256,379,0.08891736066512458,1,400,0.38372525872349605,400,0.09673475608482121
1,2,399,0.1135718341851221,399,0.09487232544792913,2,399,0.29048946048382174,378,0.08586164448744103,2,399,0.3291909394912056,399,0.09466837185211564,2,399,0.11236271472824556,399,0.09443475025568528,2,399,0.24726242175518623,378,0.08460293133576977,2,399,0.4165484652756834,399,0.09572154971943696
2,3,398,0.11344299489506524,398,0.08793385149142546,3,398,0.2708068552514047,377,0.08496349266425234,3,398,0.26957438153301777,377,0.08496349266425234,3,398,0.1046542203523534,398,0.09181648060185056,3,398,0.25417997746403675,377,0.08182895253294244,3,398,0.5306880612484678,377,0.08481338852948421
3,4,397,0.11254924029262803,397,0.08737164566978217,4,397,0.255307286524392,371,0.0784977544071451,4,397,0.24970797265341305,376,0.08279744276720018,4,397,0.09742331288343559,397,0.08542563066912139,4,397,0.21465090713621313,376,0.07767794342812608,4,397,0.4140259410394159,376,0.08336866657023206
4,5,396,0.11226494527083918,396,0.08485943799789854,5,396,0.2439208311181995,370,0.07594226578366543,5,396,0.21534258110638882,375,0.08274921868612581,5,396,0.08173374613003095,396,0.08054424756502077,5,396,0.24490271917487086,375,0.07283234083472787,5,396,0.3170440804372054,375,0.08241157558059924
5,6,395,0.11120378092855157,395,0.08278135073141982,6,395,0.2158348635839236,369,0.07415154167648727,6,395,0.19702310580894303,374,0.08095263922700106,6,395,0.07597614925947298,226,0.0581010415917355,6,395,0.45683117977212967,227,0.05321020398402425,6,395,0.428266844873771,373,0.07821919060401794
6,7,394,0.11098779134295228,394,0.08258086417012898,7,394,0.2083242539971863,346,0.06820564659788357,7,394,0.18344095322913814,373,0.08010365033689189,7,394,0.0637317773723287,226,0.051883620553386696,7,394,0.096181658190028,226,0.05165629952389485,7,394,0.5165636248136721,370,0.07207406885198667
7,8,393,0.11074197120708748,393,0.0826004053739636,8,393,0.2033352871717532,345,0.06765950327360519,8,393,0.17183911509651614,371,0.07974127087938535,8,393,0.06364466101439217,225,0.05035000093626527,8,393,0.12885213457732544,196,0.045844213405567415,8,393,0.5307310899097958,356,0.06689893674532205
8,9,392,0.11074197120708748,392,0.08262233108951078,9,392,0.19156776455930627,342,0.06470005805300834,9,392,0.16836783612074743,370,0.07910029077936824,9,392,0.06043437204910292,195,0.044394587271023564,9,392,0.0870751608013585,173,0.04163076968120673,9,392,0.538162378146299,355,0.06545820168272003
9,10,391,0.11031439602868175,389,0.08166991436767684,10,391,0.1650846868252884,339,0.06313903700825757,10,391,0.15923343964805295,368,0.077579484255796,10,391,0.05050144516038999,194,0.042957710613366444,10,391,0.098437055981813,170,0.0381637040943949,10,391,0.42071059968109514,354,0.06408040345474271
