cnt,Scenario 
0.202326758,Scenario A
0.768676435,Scenario A
7.135777998,Scenario A
0.612244898,Scenario A
1.153942637,Scenario A
1.046954315,Scenario A
1.005878511,Scenario A
1.092202184,Scenario A
1.042575467,Scenario A
0.957381099,Scenario A
0.950782998,Scenario A
1.087883959,Scenario A
0.992410975,Scenario A
1.079136691,Scenario A
9.482758621,Scenario A
7.647058824,Scenario A
0.811618966,Scenario A
1.01292884,Scenario A
1.152656733,Scenario A
1.031724389,Scenario A
0.317348378,Scenario A
0.956632653,Scenario A
1.063829787,Scenario A
1.064870151,Scenario A
0.968677649,Scenario A
0.947749715,Scenario A
0.838118392,Scenario A
0.99938902,Scenario A
1.364764268,Scenario A
0.948175088,Scenario A
1.080708209,Scenario A
1.062339482,Scenario A
0.992237844,Scenario A
0.807217474,Scenario A
1.236476043,Scenario A
0.961824492,Scenario A
2.027436255,Scenario A
0,Scenario A
0.985852378,Scenario A
1.642036125,Scenario A
0.376470588,Scenario A
-38.05208168,Scenario A
1.001882324,Scenario A
0,Scenario A
1.031073446,Scenario A
7.785753727,Scenario A
1.079835865,Scenario A
0.749921883,Scenario A
1.023277253,Scenario A
0.943987466,Scenario A
0.815737091,Scenario A
0.828647529,Scenario A
0.860847772,Scenario A
0.992768722,Scenario A
0.973020787,Scenario A
1.016609393,Scenario A
1.13688457,Scenario A
0.984251969,Scenario A
0.948246316,Scenario A
1.009085235,Scenario A
0.966910185,Scenario A
0.606772362,Scenario A
1.052170101,Scenario A
0.91503268,Scenario A
1.033266129,Scenario A
0.673400673,Scenario A
0.877192982,Scenario A
1.02954342,Scenario A
1.089449541,Scenario A
0.810372771,Scenario A
1.063264221,Scenario A
1.008902077,Scenario A
0.440251572,Scenario A
2.361064707,Scenario A
0.357142857,Scenario A
4.060248854,Scenario A
1.007757078,Scenario A
0.983606557,Scenario A
1.07457899,Scenario A
0.731409996,Scenario A
0.878062597,Scenario A
0.953619419,Scenario A
1.53256705,Scenario A
0.958921861,Scenario A
0.451467269,Scenario A
1.110288675,Scenario A
1.193755739,Scenario A
0.992270733,Scenario A
0.511508951,Scenario A
8.893280632,Scenario A
1.117519827,Scenario A
0.833333333,Scenario A
3.842105263,Scenario A
0.967986472,Scenario A
0.331125828,Scenario A
0.833061091,Scenario A
1.117913229,Scenario A
1.008023041,Scenario A
0.923787529,Scenario A
0.967511407,Scenario A
0.291828794,Scenario A
1.075794621,Scenario A
0.378071834,Scenario A
0.862068966,Scenario A
8.062330623,Scenario A
0.995914198,Scenario A
1.298076923,Scenario A
0.830056793,Scenario A
0.656370656,Scenario A
0,Scenario A
0.572737686,Scenario A
0.975177305,Scenario A
0.704225352,Scenario A
1.30866426,Scenario A
0.4784689,Scenario A
1.263157895,Scenario A
1.054510058,Scenario A
1.072274057,Scenario A
0.822368421,Scenario A
0.473036897,Scenario A
0.387596899,Scenario A
1.282051282,Scenario A
7.789473684,Scenario A
0.942824061,Scenario A
1.003764115,Scenario A
0.925421884,Scenario A
0.980173758,Scenario A
0.99009901,Scenario A
1.111111111,Scenario A
0.252365931,Scenario A
0.911854103,Scenario A
8.173477898,Scenario A
0.389863548,Scenario A
0.505561173,Scenario A
1.457725948,Scenario A
0.893203883,Scenario A
0.772797527,Scenario A
1.215870307,Scenario A
0.698856417,Scenario A
0.591715976,Scenario A
0.894392845,Scenario A
0.943150774,Scenario A
1.029367242,Scenario A
1.069201069,Scenario A
9.300095877,Scenario A
0.741739717,Scenario A
0.675512666,Scenario A
0.393700787,Scenario A
1.279863481,Scenario A
0.971463267,Scenario A
1.07925801,Scenario A
0.63559322,Scenario A
0.649878148,Scenario A
1.018922853,Scenario A
0.897867565,Scenario A
0.731570062,Scenario A
0.894736842,Scenario A
1.001754899,Scenario A
0.707918196,Scenario A
0,Scenario A
1.01010101,Scenario A
1.030927835,Scenario A
1.224846894,Scenario A
8.531746032,Scenario A
1.478953356,Scenario A
1.154734411,Scenario A
0.231481481,Scenario A
1.388888889,Scenario A
0.420168067,Scenario A
0.660501982,Scenario A
9.455128205,Scenario A
0.332225914,Scenario A
1.20593692,Scenario A
8.678102926,Scenario A
1.035196687,Scenario A
0,Scenario A
0.926998841,Scenario A
1.643305945,Scenario A
0.64683053,Scenario A
0.712685807,Scenario A
1.732811627,Scenario A
0.897454759,Scenario A
8.211143695,Scenario A
1.095556908,Scenario A
0.503919373,Scenario A
0.925925926,Scenario A
1.026543481,Scenario A
1.147605857,Scenario A
0.35746202,Scenario A
0.844673862,Scenario A
6.887417219,Scenario A
0.348432056,Scenario A
7.785467128,Scenario A
3.11550152,Scenario A
1.006711409,Scenario A
0.967805649,Scenario A
7.166666667,Scenario A
1.321353066,Scenario A
9.136630344,Scenario A
0.921393608,Scenario A
0.846859562,Scenario A
1.029295329,Scenario A
0.952962737,Scenario A
0.348432056,Scenario A
0.406504065,Scenario A
0,Scenario A
1.196649382,Scenario A
1.526717557,Scenario A
1.321003963,Scenario A
0.422832981,Scenario A
1.082581541,Scenario A
1.14379085,Scenario A
5.128205128,Scenario A
0.167785235,Scenario A
0.484848485,Scenario A
0.925925926,Scenario A
1.055194805,Scenario A
0.284900285,Scenario A
1.449275362,Scenario A
6.8359375,Scenario A
9.064327485,Scenario A
1.020408163,Scenario A
1.518438178,Scenario A
0.59568131,Scenario A
1.746478873,Scenario A
0.983069361,Scenario A
0.637522769,Scenario A
0.946891725,Scenario A
0.747663551,Scenario A
7.81671159,Scenario A
7.246376812,Scenario A
0.423728814,Scenario A
0.540540541,Scenario A
0,Scenario A
1.144492132,Scenario A
0.489396411,Scenario A
0.951086957,Scenario A
0.936329588,Scenario A
1.063829787,Scenario A
7.83045977,Scenario A
0.700848395,Scenario A
1.401869159,Scenario A
0,Scenario A
0.043802015,Scenario A
0,Scenario A
0.892857143,Scenario A
0.724637681,Scenario A
0.317965024,Scenario A
7.068062827,Scenario A
0.90763481,Scenario A
0.833333333,Scenario A
1.033170201,Scenario A
0.16722408,Scenario A
0.829875519,Scenario A
0.748129676,Scenario A
0.815494393,Scenario A
0.447761194,Scenario A
0.397140588,Scenario A
1.272084806,Scenario A
1.317296678,Scenario A
1.181102362,Scenario A
1.834862385,Scenario A
7.547169811,Scenario A
2.06185567,Scenario A
7.010582011,Scenario A
0.436681223,Scenario A
1.354401806,Scenario A
0.375469337,Scenario A
0.166112957,Scenario A
1.022222222,Scenario A
7.5,Scenario A
1.528384279,Scenario A
0.779220779,Scenario A
0.778210117,Scenario A
0,Scenario A
1.326899879,Scenario A
1.098901099,Scenario A
1.13735783,Scenario A
0,Scenario A
1.236263736,Scenario A
1.340996169,Scenario A
0.991735537,Scenario A
0,Scenario A
0.67114094,Scenario A
1.450777202,Scenario A
1.522248244,Scenario A
0.74906367,Scenario A
